sample,old bam mapped,old bam reads,new bam mapped,new bam reads
HG00100,8907620,9003637,8711612,9005223
HG00101,6009971,6017185,6005941,6019078
HG00102,4537855,4543424,4533760,4544731
HG00103,4673847,4680746,4668074,4681817
HG00107,4903372,4925335,4874422,4927125
HG00108,7071057,7089165,7052027,7090245
HG00109,7094404,7124589,7063405,7125936
HG00110,6784492,6807992,6760674,6809255
HG00111,5466064,5489604,5453978,5491561
HG00113,5608100,5630221,5588899,5632257
HG00114,5286049,5310804,5257647,5313267
HG00116,11101866,11226940,10879426,11228519
HG00117,9386342,9488009,9246648,9489491
HG00119,10940472,11071865,10731685,11074057
HG00120,8050689,8108634,7957246,8109572
HG00121,5627118,5646492,5608144,5648569
HG00123,9119616,9215819,8998940,9217928
HG00124,9988147,10084838,9800542,10086096
HG00125,5469626,5504135,5453785,5506366
HG00127,2519675,2520158,2518865,2520687
HG00131,11200253,11346528,10960296,11348080
HG00133,9901586,9997097,9751074,9998849
HG00136,7109073,7146280,7087047,7148825
HG00137,4789931,4808540,4770509,4810613
HG00138,5117869,5143016,5100033,5144964
HG00139,6626834,6648910,6608040,6651250
HG00140,5411622,5438099,5396614,5440496
