# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAMDC	AAMDC	NM_001316957.1	protein_coding	1	1	0	141	0	0	0	0	0	0	0	15	0	114	0	0	0	0	0	0	0	1	0	0	1	12
AAMDC	AAMDC	NM_001316958.1	protein_coding	0	1	0	142	1	0	0	0	0	0	0	15	0	114	0	0	0	0	0	0	0	0	0	0	1	12
AAMDC	AAMDC	NM_001316960.1	protein_coding	0	2	1	89	1	0	0	0	0	0	0	8	0	69	1	0	0	0	0	1	0	0	0	0	1	12
AAMDC	AAMDC	NM_001316961.1	protein_coding	0	2	1	89	1	0	0	0	0	0	0	8	0	69	1	0	0	0	0	1	0	0	0	0	1	12
AAMDC	AAMDC	NM_001316962.1	protein_coding	0	2	1	89	1	0	0	0	0	0	0	8	0	69	1	0	0	0	0	1	0	0	0	0	1	12
AAMDC	AAMDC	NM_001363564.1	protein_coding	0	2	1	62	1	0	0	0	0	0	0	8	0	49	1	0	0	0	0	1	0	0	0	0	1	5
AAMDC	AAMDC	NM_024684.3	protein_coding	0	2	1	89	1	0	0	0	0	0	0	8	0	69	1	0	0	0	0	1	0	0	0	0	1	12
AAMDC	AAMDC	NR_133637.1		0	0	0	143	0	0	0	0	0	0	0	15	0	114	0	2	0	0	0	0	0	0	0	0	0	12
AASDHPPT	AASDHPPT	NM_015423.3	protein_coding	0	1	0	57	5	0	0	0	0	0	0	7	0	35	0	0	0	0	0	0	0	0	0	0	1	10
ABCC8	ABCC8	NM_000352.5	protein_coding	0	10	5	321	1	0	0	0	0	0	0	19	0	283	5	0	0	0	0	2	0	0	0	0	8	20
ABCC8	ABCC8	NM_001287174.2	protein_coding	0	10	5	321	1	0	0	0	0	0	0	19	0	283	5	0	0	0	0	2	0	0	0	0	8	20
ABCC8	ABCC8	NM_001351295.2	protein_coding	0	10	5	321	1	0	0	0	0	0	0	19	0	283	5	0	0	0	0	2	0	0	0	0	8	20
ABCC8	ABCC8	NM_001351296.2	protein_coding	0	10	5	321	1	0	0	0	0	0	0	19	0	283	5	0	0	0	0	2	0	0	0	0	8	20
ABCC8	ABCC8	NM_001351297.2	protein_coding	0	10	5	321	1	0	0	0	0	0	0	19	0	283	5	0	0	0	0	2	0	0	0	0	8	20
ABCC8	ABCC8	NR_147094.2		0	2	0	334	0	0	0	0	0	0	0	19	0	283	0	14	0	0	0	2	0	0	0	0	0	20
ABCG4	ABCG4	NM_001142505.1	protein_coding	0	2	1	56	3	0	1	0	0	0	0	9	0	31	1	0	0	0	0	1	0	0	0	0	1	13
ABCG4	ABCG4	NM_001348191.2	protein_coding	0	2	1	58	3	0	0	0	0	0	0	9	0	32	1	0	0	0	0	1	0	0	0	0	1	15
ABCG4	ABCG4	NM_001348192.2	protein_coding	0	2	1	58	3	0	0	0	0	0	0	9	0	32	1	0	0	0	0	1	0	0	0	0	1	15
ABCG4	ABCG4	NM_022169.5	protein_coding	0	2	1	58	3	0	0	0	0	0	0	9	0	32	1	0	0	0	0	1	0	0	0	0	1	15
